Name	PermID	Reference	Chrom	Offsets	Ae	In	Fst	Source
mh20KK-016	MHDBM-723361d8	GRCh38	chr20	63539944,63539991,63540067,63540153,63540202	2.6174	0.6041	0.2224	ALFRED
mh21USC-21qA	MHDBM-d0b1a9c2	GRCh38	chr21	14526884,14526901,14526930,14526953	3.2786	0.1775	0.2061	10.1016/j.fsigen.2019.102213
mh21KK-315	MHDBM-e965ffea	GRCh38	chr21	20507773,20507878,20507918	4.3647	0.1292	0.0584	ALFRED
mh21AT-41	MHDBM-b7d5b650	GRCh38	chr21	20507878,20507918	3.3100	0.0731	0.0500	ISFG2019:P597
mh21KK-316	MHDBM-0c544728	GRCh38	chr21	26410648,26410672,26410719,26410782	3.1248	0.2549	0.1599	ALFRED
mh21USC-21qB	MHDBM-f61f047b	GRCh38	chr21	38923139,38923144,38923165	2.8829	0.1349	0.0896	10.1016/j.fsigen.2019.102213
mh21PK-MX1s	MHDBM-c2dc67e9	GRCh38	chr21	41464744,41464757,41464801,41464823	2.0415	0.1729	0.0406	10.1016/j.fsigen.2018.05.008
mh21KK-320	MHDBM-c41fae2b	GRCh38	chr21	41642698,41642768,41642857,41642883	5.0586	0.1583	0.1483	ALFRED
mh21AT-43	MHDBM-6f6edd94	GRCh38	chr21	41642698,41642768	2.7427	0.0372	0.1681	ISFG2019:P597
mh21KK-313	MHDBM-922a888f	GRCh38	chr21	42522024,42522138,42522196	2.5316	0.2669	0.1623	ALFRED
mh21KK-324	MHDBM-eb207470	GRCh38	chr21	45294633,45294725,45294776,45294791	4.5506	0.3071	0.1036	ALFRED
mh21AT-44	MHDBM-6d9a901e	GRCh38	chr21	45294725,45294776	2.9555	0.0938	0.0553	ISFG2019:P597
mh22KK-303	MHDBM-75e3582d	GRCh38	chr22	19962711,19962739,19962744,19962805	2.1515	0.0970	0.1844	ALFRED
mh22KK-060	MHDBM-e1ccbf64	GRCh38	chr22	19963683,19963747	2.6399	0.0779	0.1259	ALFRED
mh22AT-45	MHDBM-7624d794	GRCh38	chr22	19963683,19963713,19963747	2.8240	0.0986	0.1102	ISFG2019:P597
mh22NH-27	MHDBM-491bb888	GRCh38	chr22	23075490,23075525,23075571	2.9133	0.1174	0.1069	10.1016/j.legalmed.2015.06.003
mh22USC-22qA	MHDBM-5cea4aef	GRCh38	chr22	30404315,30404322,30404348,30404378	3.5543	0.1539	0.0214	10.1016/j.fsigen.2019.102213
mh22KK-064	MHDBM-53d32baf	GRCh38	chr22	36265795,36265859,36265987,36265994	1.6706	0.1775	0.1321	ALFRED
mh22KK-069	MHDBM-99bbe257	GRCh38	chr22	41333211,41333289	2.1164	0.2278	0.2542	ALFRED
mh22KK-061	MHDBM-798d33f6	GRCh38	chr22	44367725,44367770,44367871	3.5666	0.0711	0.0309	ALFRED
mh22AT-46	MHDBM-e9b29778	GRCh38	chr22	44367725,44367770	2.5314	0.0275	0.0202	ISFG2019:P597
mh22PK-104638	MHDBM-eb63e78f	GRCh38	chr22	44857882,44857883,44857884,44857891,44857892,44857893,44857907,44857930,44857946,44857949,44857950,44857954				10.1016/j.fsigen.2018.05.008
mh22USC-22qB	MHDBM-84c38e1d	GRCh38	chr22	48665163,48665174,48665181,48665203,48665215	4.3459	0.2916	0.1590	10.1016/j.fsigen.2019.102213
mh0XUSC-XpA	MHDBM-a01902db	GRCh38	chrX	5459544,5459573,5459583	2.6707	0.2170	-0.3302	10.1016/j.fsigen.2019.102213
mh0XUSC-XpB	MHDBM-4de0816f	GRCh38	chrX	12199350,12199375,12199397	2.6792	0.1952	-0.0391	10.1016/j.fsigen.2019.102213
mh0XUSC-XpC	MHDBM-4c1069ee	GRCh38	chrX	22545206,22545208,22545232,22545253	2.7455	0.1328	-0.8135	10.1016/j.fsigen.2019.102213
mh0XUSC-XqA	MHDBM-e0f4370e	GRCh38	chrX	71145054,71145135	2.3045	0.1627	-0.1094	10.1016/j.fsigen.2019.102213
mh0XUSC-XqB	MHDBM-0eb4ebe1	GRCh38	chrX	79887503,79887505,79887511	2.4863	0.2666	-0.3378	10.1016/j.fsigen.2019.102213
mh0XUSC-XqC	MHDBM-7afc571c	GRCh38	chrX	86322184,86322186,86322256	2.3879	0.1110	-0.8114	10.1016/j.fsigen.2019.102213
mh0XUSC-XqD	MHDBM-d52d6e67	GRCh38	chrX	94276382,94276409,94276443				10.1016/j.fsigen.2019.102213
mh0XUSC-XqE	MHDBM-2a78923d	GRCh38	chrX	112447273,112447278	2.1523	0.1242	-0.5646	10.1016/j.fsigen.2019.102213
mh0XUSC-XqF	MHDBM-6ce44345	GRCh38	chrX	120209670,120209745	1.8426	0.2895	0.1942	10.1016/j.fsigen.2019.102213
mh0XUSC-XqG	MHDBM-2422b08b	GRCh38	chrX	138369266,138369277,138369296	2.8205	0.1976	-0.6026	10.1016/j.fsigen.2019.102213
mh0XUSC-XqH	MHDBM-cba70b3c	GRCh38	chrX	146934523,146934534,146934544	2.5473	0.2613	-0.2572	10.1016/j.fsigen.2019.102213
