Marker	Extent	Ae	Repeats
mh18SCUZJ-0117020	326	2.557	LINE>L1>L1PA4[chr18:42660319-42666556]
mh18SCUZJ-0133911	175	4.225	SINE>Alu>AluY[chr18:49607576-49607882]
mh18SCUZJ-0147265	288	3.164	LINE>L2>L2a[chr18:52830776-52831947]
mh18SCUZJ-0189739	177	3.177	LINE>L1>L1MA9[chr18:64881521-64881971]
mh18SCUZJ-0194030	259	5.674	SINE>Alu>AluY[chr18:66206415-66206716]
mh18SCUZJ-0212405	286	3.504	LINE>L1>L1M2[chr18:70969539-70970056];LTR>ERVL-MaLR>THE1B[chr18:70970117-70970474]
mh18SCUZJ-0220161	288	8.867	LTR>ERVL-MaLR>THE1B[chr18:72301915-72302274]
mh18SCUZJ-0233898	311	4.023	LINE>L1>L1MC5a[chr18:74225759-74225986]
mh18SCUZJ-0236206	289	12.14	SINE>Alu>AluY[chr18:74676437-74676733]
mh18SCUZJ-0246384	159	10.797	SINE>Alu>AluY[chr18:76760362-76760670];LINE>L1>L1P2[chr18:76760670-76760736]
mh18SCUZJ-0246988	324	3.462	SINE>Alu>AluY[chr18:76997687-76997981]
mh18SCUZJ-0264631	350	6.497	SINE>Alu>AluY[chr18:79646736-79647046]
mh18SHY-001	181	4.429	LINE>L1>L1MA10[chr18:1952374-1952508];LTR>ERV1>MER49[chr18:1952510-1953216]
mh18ZBF-001	32	2.819	SINE>Alu>AluY[chr18:26643680-26643971]
mh18ZBF-002	77	3.002	SINE>Alu>AluY[chr18:11900626-11900940]
mh18ZHA-004	116	2.764	LTR>ERVL-MaLR>THE1D-int[chr18:14315218-14316748]
mh19CP-007	42	3.07	SINE>Alu>AluSq2[chr19:14310703-14311004]
mh19SCUZJ-0007484	254	5.885	SINE>Alu>AluY[chr19:930511-930808]
mh19SCUZJ-0012120	232	1.66	SINE>Alu>AluY[chr19:1923615-1923924]
mh19SCUZJ-0018130	297	4.211	SINE>Alu>AluSc[chr19:3124948-3125246];LINE>L1>L1MB3[chr19:3125246-3125347]
mh19SCUZJ-0019425	335	6.601	SINE>Alu>AluSc[chr19:3272085-3272397]
mh19SCUZJ-0022447	244	4.959	SINE>Alu>AluSg[chr19:4195615-4195911]
mh19SCUZJ-0028962	346	9.201	LTR>ERV1>HERVH-int[chr19:5852990-5853278];SINE>Alu>AluY[chr19:5853278-5853576]
mh19SCUZJ-0039302	317	7.859	SINE>Alu>AluY[chr19:7570371-7570632];LINE>L1>L1ME3G[chr19:7570632-7571029]
mh19SCUZJ-0056108	214	3.48	SINE>Alu>AluY[chr19:11146483-11146789]
mh19SCUZJ-0064306	170	4.726	SINE>Alu>AluY[chr19:13601993-13602289]
mh19SCUZJ-0081305	260	3.826	SINE>Alu>AluSx3[chr19:17174652-17174959];SINE>Alu>AluJr4[chr19:17174996-17175296]
mh19SCUZJ-0091391	269	5.974	SINE>Alu>AluSx4[chr19:20552732-20553043]
mh19SCUZJ-0119796	347	7.501	LINE>L1>L1PA17[chr19:28336844-28337224]
mh19SCUZJ-0121709	120	3.685	LINE>L1>L1PA17[chr19:28735722-28736451]
mh19SCUZJ-0137855	350	2.919	LINE>L1>L1PA4[chr19:32846037-32852182]
mh19SCUZJ-0146076	318	4.346	LTR>ERVL>MER21C[chr19:35194547-35194997]
mh19SCUZJ-0146592	307	5.848	LTR>ERVL-MaLR>MLT1B[chr19:35289859-35290020];SINE>Alu>AluY[chr19:35290052-35290332]
mh19SCUZJ-0195134	285	6.86	SINE>Alu>AluSx[chr19:49898041-49898346]
mh19SCUZJ-0215538	331	4.736	SINE>Alu>AluY[chr19:52912112-52912412];SINE>Alu>AluSc8[chr19:52912443-52912755]
mh19SCUZJ-0227114	241	7.985	SINE>Alu>AluSg4[chr19:54132834-54133150];SINE>Alu>AluSx1[chr19:54133150-54133241]
mh19SCUZJ-0249059.v1	273	9.043	SINE>Alu>AluY[chr19:57245497-57245792]
mh19SCUZJ-0249059.v2	185	3.631	SINE>Alu>AluY[chr19:57245497-57245792]
mh19SHY-002	165	3.229	SINE>Alu>AluJo[chr19:55588121-55588429];LINE>L1>L1ME3B[chr19:55588442-55588712]
mh19ZHA-006	63	3.772	SINE>Alu>AluSx3[chr19:20579829-20580132]
mh20HYP-42	107	1.79	LINE>L1>L1ME3Cz[chr20:59131913-59132696]
mh20LV-04.v1	350	23.252	SINE>Alu>AluSc[chr20:5665896-5666173]
mh20LV-04.v2	350	16.966	SINE>Alu>AluSc[chr20:5665896-5666173]
mh20LW-49	48	3.409	LTR>ERVL-MaLR>MSTB[chr20:16043996-16044377]
mh20SCUZJ-0000019	239	4.565	SINE>Alu>AluY[chr20:101273-101583]
mh20SCUZJ-0014987	258	13.973	SINE>Alu>AluY[chr20:3913790-3914088]
mh20SCUZJ-0017470	172	4.313	SINE>Alu>AluJo[chr20:4189535-4189734]
mh20SCUZJ-0026528	324	4.602	LINE>L1>L1MC4[chr20:5860431-5860703]
mh20SCUZJ-0039966	312	4.898	LTR>ERVL-MaLR>MSTA[chr20:10094182-10094604];LTR>ERVL>LTR16C[chr20:10094604-10094792]
mh20SCUZJ-0056321	250	4.649	SINE>Alu>AluY[chr20:15678363-15678606]
mh20SCUZJ-0118237	321	7.164	LTR>ERV1>HERVH-int[chr20:44671177-44675874]
mh20SCUZJ-0128552	298	5.699	LINE>L2>L2a[chr20:47913308-47913770]
mh20SCUZJ-0148996	91	7.651	SINE>Alu>AluY[chr20:53630890-53631179]
mh20SCUZJ-0159322	200	3.566	SINE>Alu>AluSx3[chr20:56789552-56789862]
mh20SCUZJ-0175951	327	10.256	SINE>Alu>AluSz[chr20:61717475-61717784]
mh20SCUZJ-0176544	337	5.992	SINE>Alu>AluSg7[chr20:61793559-61793856];SINE>Alu>AluY[chr20:61793856-61794160]
mh20SCUZJ-0185153.v1	206	4.979	SINE>Alu>AluSc[chr20:63676653-63676938];LINE>L1>HAL1M8[chr20:63676938-63677277]
mh20SCUZJ-0185153.v2	347	14.227	SINE>Alu>AluSc[chr20:63676653-63676938];LINE>L1>HAL1M8[chr20:63676938-63677277]
mh20SHY-001	176	3.83	LINE>L1>L1MEc[chr20:4095074-4096053]
mh20SHY-002	143	3.326	SINE>Alu>AluSc[chr20:11976007-11976181];LTR>ERVL-MaLR>MLT1F1[chr20:11976181-11976284]
mh21KK-313.v1	173	2.526	LTR>ERVL-MaLR>MLT1C[chr21:42521837-42522264]
mh21KK-313.v2	173	2.526	LTR>ERVL-MaLR>MLT1C[chr21:42521837-42522264]
mh21KK-313.v3	207	2.556	LTR>ERVL-MaLR>MLT1C[chr21:42521837-42522264]
mh21SCUZJ-0002749	296	11.463	LTR>ERV1>LTR6A[chr21:13858325-13858875];LTR>ERVL-MaLR>MSTA-int[chr21:13859003-13859339]
mh21SCUZJ-0003240	342	3.048	LTR>ERVL-MaLR>MSTA[chr21:13870729-13870996]
mh21SCUZJ-0016493	250	4.993	LTR>ERV1>HERVH-int[chr21:16914530-16917409]
mh21SCUZJ-0037017	319	4.999	LTR>ERVL-MaLR>MLT1D[chr21:20534446-20534723];LINE>L1>L1MC3[chr21:20534723-20535020]
mh21SCUZJ-0041429	331	5.47	LINE>L1>L1ME3A[chr21:21510764-21511011];LINE>L1>L1MA4[chr21:21511016-21513210]
mh21SCUZJ-0059376	297	4.287	LTR>ERV1>MER4D1[chr21:25834467-25835308]
mh21SCUZJ-0071539	320	3.864	LINE>L1>L1PB1[chr21:28834144-28838252]
mh21SCUZJ-0080338	202	4.536	SINE>Alu>AluJb[chr21:31856359-31856648]
mh21SCUZJ-0093008.v1	232	12.693	SINE>Alu>AluY[chr21:36227265-36227574]
mh21SCUZJ-0093008.v2	174	8.893	SINE>Alu>AluY[chr21:36227265-36227574]
mh21SCUZJ-0117636	297	7.444	LTR>ERVL-MaLR>THE1C[chr21:41702064-41702420]
mh21SCUZJ-0125683	263	1.0	LINE>L1>L1PB1[chr21:43405280-43405638]
mh21SCUZJ-0128230	53	1.0	SINE>Alu>AluY[chr21:44216674-44216984]
mh21SCUZJ-0132919	210	6.083	SINE>Alu>AluSq[chr21:44916585-44916886]
mh22SCUZJ-0002299	280	3.293	SINE>Alu>AluJr[chr22:16434538-16434843]
mh22SCUZJ-0012907	225	4.625	SINE>Alu>AluSc[chr22:19157956-19158272]
mh22SCUZJ-0021077.v1	311	8.319	SINE>Alu>AluY[chr22:21692153-21692453]
mh22SCUZJ-0021077.v2	180	5.635	SINE>Alu>AluY[chr22:21692153-21692453]
mh22SCUZJ-0043764	271	11.23	SINE>Alu>AluYk4[chr22:24840841-24841148];LINE>L1>L1MB2[chr22:24841148-24841537]
mh22SCUZJ-0107341	283	4.244	SINE>Alu>AluY[chr22:44530903-44531213]
mh22SCUZJ-0135192	314	5.365	LINE>L1>L1MCb[chr22:48921974-48922877];SINE>Alu>AluY[chr22:48922877-48923185]
mh22SCUZJ-0146198	335	5.698	SINE>Alu>AluY[chr22:50029460-50029751]
mh22ZHA-003	327	3.55	SINE>Alu>AluY[chr22:19545072-19545383]
